city,year,weekofyear,week_start_date,ndvi_ne,ndvi_nw,ndvi_se,ndvi_sw,precipitation_amt_mm,reanalysis_air_temp_k,reanalysis_avg_temp_k,reanalysis_dew_point_temp_k,reanalysis_max_air_temp_k,reanalysis_min_air_temp_k,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_sat_precip_amt_mm,reanalysis_specific_humidity_g_per_kg,reanalysis_tdtr_k,station_avg_temp_c,station_diur_temp_rng_c,station_max_temp_c,station_min_temp_c,station_precip_mm
sj,1990,42,1990-10-15,0.142294,0.0702,0.181617,0.16575,143.55,299.195714,299.307143,296.544286,301.5,297.5,279.6,85.621429,143.55,18.115714,1.871429,27.628571,7.4,32.8,23.3,61.8
sj,1990,43,1990-10-22,0.1462,0.08975,0.128829,0.123929,127.03,298.902857,299.042857,296.257143,300.9,297.2,94.52,85.502857,127.03,17.75,1.8,26.771429,7.628571,32.2,21.7,91.5
sj,1990,44,1990-10-29,0.25225,0.183433,0.318,0.2959,101.35,299.727143,299.778571,296.534286,301.4,298.5,22.26,82.787143,101.35,18.034286,1.785714,27.971429,8.642857,33.3,22.8,6.3
sj,1990,45,1990-11-05,0.1526,0.181775,0.178329,0.186629,20.46,299.972857,300.035714,296.564286,302.2,298.5,14.4,81.715714,20.46,18.074286,2.385714,28.471429,8.428571,33.3,23.9,6.6
sj,1990,46,1990-11-12,0.2908,0.2246,0.180386,0.234886,20,300.35,300.5,295.687143,302.3,298.8,7.1,75.728571,20,17.085714,2.2,27.542857,8.6,32.8,22.2,38.9
sj,1990,47,1990-11-19,0.2722,0.33035,0.131633,0.125383,20.04,299.511429,299.635714,295.375714,301.6,297,36.7,78.151429,20.04,16.752857,2.528571,26.8,7.414286,31.7,22.2,9.6
sj,1990,48,1990-11-26,0.136767,0.216525,0.176786,0.141586,33.61,298.238571,298.264286,294.811429,300.2,296.5,44.3,81.385714,33.61,16.208571,1.985714,26.2,7.128571,31.1,20.6,26.7
sj,1990,49,1990-12-03,0.1098,0.0886,0.266783,0.2517,9.96,298.542857,298.685714,294.782857,300.8,296.7,71.8,79.908571,9.96,16.161429,2.057143,25.985714,5.542857,29.4,22.2,69
sj,1990,50,1990-12-10,0.12135,0.26166,0.191386,0.209986,0,298.202857,298.278571,292.004286,300.6,296.1,4.1,68.722857,0,13.615714,2.985714,24.685714,7.771429,29.4,19.4,2.8
sj,1990,51,1990-12-17,0.293133,0.266867,0.260857,0.302729,52.45,298.297143,298.378571,294.558571,300.9,296,32.31,80.082857,52.45,15.954286,2.871429,25.714286,6.585714,30.6,21.1,19.8
sj,1990,52,1990-12-24,0.3025,0.277233,0.171267,0.161622,0,298.038571,298.085714,292.105714,299.8,295.3,5.46,69.681429,0,13.682857,2.285714,25.157143,5.842857,28.9,21.1,20.9
sj,1991,1,1991-01-01,0.1465,0.140467,0.1515,0.167314,0,297.06,297.135714,291.907143,299,293.9,4.8,72.938571,0,13.511429,2.528571,24.385714,7.457143,29.4,18.9,5.3
sj,1991,2,1991-01-08,0.142294,0.100467,0.2519,0.137617,15.85,297.674286,297.828571,293.282857,299.3,295.8,26.33,76.628571,15.85,14.671429,1.885714,24.914286,6.314286,28.3,21.1,31.7
sj,1991,3,1991-01-15,0.142294,0.293567,0.259943,0.2179,0,297.422857,297.657143,293.412857,299.3,296.1,27.4,78.5,0,14.798571,2,25.242857,6.571429,29.4,21.1,16.5
sj,1991,4,1991-01-22,0.3313,0.309333,0.221029,0.202757,0,297.884286,298.15,292.382857,300.3,296,0.7,71.597143,0,13.878571,2.557143,24.714286,7.771429,29.4,18.3,6.8
sj,1991,5,1991-01-29,0.0917,0.246425,0.243857,0.1956,0,298.044286,298.228571,292.572857,300.1,295,5.7,71.784286,0,14.044286,2.771429,24.828571,8.157143,30,18.9,5.9
sj,1991,6,1991-02-05,0.3801,0.228567,0.255043,0.2258,0,297.74,297.928571,293.15,299.7,295,19.69,75.794286,0,14.541429,2.428571,25.057143,6.885714,30,20.6,7.3
sj,1991,7,1991-02-12,0.0712,0.2211,0.276243,0.267343,18.05,296.884286,297.114286,292.972857,300.2,294.1,21.4,78.895714,18.05,14.46,3.2,25.142857,8.871429,32.2,18.9,5.6
sj,1991,8,1991-02-19,0.142294,0.2094,0.108433,0.1194,0,297.414286,297.614286,293.631429,300.1,295.8,26.2,79.74,0,15.035714,2.571429,25.842857,8.471429,32.2,20,17.8
sj,1991,9,1991-02-26,0.1702,0.2086,0.13752,0.191433,31.79,297.505714,297.828571,293.407143,299.8,295.8,23.8,77.977143,31.79,14.794286,2.114286,25.257143,7.2,30.6,20,30.7
sj,1991,10,1991-03-05,0.21075,0.2641,0.247686,0.216357,0,297.777143,298.078571,293.531429,300.3,296.4,8.3,77.315714,0,14.92,2.242857,26.014286,8.314286,31.1,20.6,10.9
sj,1991,11,1991-03-12,0.142294,0.130553,0.21325,0.240543,0,297.431429,297.635714,293.335714,300.1,295.7,13.37,78.138571,0,14.787143,2.728571,25.928571,8.971429,31.7,20.6,3.6
sj,1991,12,1991-03-19,0.1279,0.1784,0.147014,0.1593,0,297.407143,297.614286,293.254286,300.4,295.4,11.1,77.882857,0,14.745714,2.542857,26.085714,6.971429,32.2,21.1,5.7
sj,1991,13,1991-03-26,0.28035,0.223575,0.247883,0.247386,0,297.47,297.692857,293.74,301,295.7,21.26,80.001429,0,15.148571,2.757143,26.057143,6.585714,32.2,22.2,26.9
sj,1991,14,1991-04-02,0.1691,0.216825,0.260514,0.221971,12.92,297.064286,297.185714,292.48,299.4,295.4,20.9,75.662857,12.92,13.991429,2.285714,25.242857,6.814286,28.9,20.6,4.1
sj,1991,15,1991-04-09,0.1765,0.2763,0.184533,0.177367,6,297.372857,297.657143,293.615714,299.2,295.9,19.78,79.628571,6,14.992857,2.628571,25.3,6.514286,28.9,21.1,18.8
sj,1991,16,1991-04-16,0.0774,0.1024,0.16355,0.206167,44.57,297.284286,297.392857,292.17,298.9,296,21.9,73.351429,44.57,13.732857,2.014286,25.514286,6.271429,29.4,21.1,19.4
sj,1991,17,1991-04-23,0.142294,0.18845,0.188314,0.224943,32.72,298.074286,298.235714,294.028571,299.6,296.7,19.7,78.447143,32.72,15.461429,2.3,26.528571,8.014286,32.8,21.7,3.5
sj,1991,18,1991-04-30,0.209167,0.160575,0.176171,0.176171,0,298.831429,299.071429,294.97,301,297.1,8.38,79.36,0,16.314286,2.8,27.314286,7.714286,32.2,22.8,2.8
sj,1991,19,1991-05-07,0.11595,0.180175,0.106386,0.111186,35.38,298.638571,298.721429,294.812857,300.9,297.2,20.6,79.541429,35.38,16.185714,2.414286,26.928571,6.928571,31.7,22.8,40.2
sj,1991,20,1991-05-14,0.142294,0.10455,0.15115,0.0964,4.16,298.325714,298.407143,294.618571,300.1,296.6,35.37,80.067143,4.16,15.974286,2.5,26.528571,6.585714,30.6,22.8,32.8
sj,1991,21,1991-05-21,0.0669,0.133567,0.097117,0.1356,51.16,298.584286,298.457143,295.124286,300.4,297,59.3,81.301429,51.16,16.501429,1.857143,27.385714,6.7,31.7,22.8,3.6
sj,1991,22,1991-05-28,0.1401,0.159467,0.214317,0.2571,55.37,298.808571,298.885714,295.274286,301.1,297.3,43.4,81.088571,55.37,16.645714,2.142857,27.942857,7.014286,33.3,23.3,5.6
sj,1991,23,1991-06-04,0.08585,0.087,0.1196,0.165929,8.08,299.518571,299.75,294.925714,301.6,297.4,5,76.074286,8.08,16.324286,2.871429,28.071429,7.5,33.3,23.3,20.6
sj,1991,24,1991-06-11,0.1091,0.156467,0.173429,0.173971,6.09,299.891429,300.071429,295.492857,301.8,298.4,5.82,77.035714,6.09,16.882857,2.4,28.228571,7.971429,33.9,23.9,9.4
sj,1991,25,1991-06-18,0.0596,0.09235,0.130129,0.130643,44.25,299.775714,299.971429,296.3,301.9,298.4,17,81.421429,44.25,17.704286,2.171429,28.928571,7.142857,33.9,25,3.3
sj,1991,26,1991-06-25,0.07965,0.122,0.185114,0.158243,73.76,299.41,299.478571,296.228571,302.5,297.7,37.8,82.745714,73.76,17.628571,2.042857,27.914286,7.4,32.8,22.8,12.4
sj,1991,27,1991-07-02,0.142294,0.177933,0.201529,0.198157,26.7,299.371429,299.385714,295.945714,302.4,297.4,51.99,81.694286,26.7,17.352857,2.142857,28.371429,6.6,32.8,23.9,24.7
sj,1991,28,1991-07-09,0.0969,0.130553,0.13805,0.167917,6.13,300.001429,300.171429,295.791429,302.1,297.9,18.7,77.877143,6.13,17.151429,2.428571,28.414286,6.671429,32.8,24.4,4.6
sj,1991,29,1991-07-16,0.142294,0.077333,0.099829,0.116643,29.67,300.234286,300.342857,296.081429,302.2,298.6,23.6,78.241429,29.67,17.472857,2.428571,28.8,6.914286,33.9,23.9,12.2
sj,1991,30,1991-07-23,0.0801,0.00805,0.138033,0.129067,56.58,299.808571,299.978571,296.332857,302.1,298.2,27.4,81.482857,56.58,17.734286,2.242857,28,5.885714,32.8,24.4,43.1
sj,1991,31,1991-07-30,0.142294,0.130553,0.190643,0.159329,48.41,299.852857,299.964286,296.478571,302,298.3,34.39,81.897143,48.41,17.878571,2.3,28.571429,6.342857,33.3,25,18
sj,1991,32,1991-08-06,0.07315,0.1124,0.192586,0.209357,13.29,299.831429,299.864286,296.468571,301.8,298.1,31.5,81.96,13.29,17.895714,2.242857,28.5,6.514286,32.8,24.4,12.5
sj,1991,33,1991-08-13,0.0593,0.130553,0.1551,0.1567,0,300.42,300.65,296.484286,302.8,298.7,20.4,79.197143,0,17.911429,2.185714,29.428571,5.471429,33.3,25.6,3.3
sj,1991,34,1991-08-20,0.0569,0.09814,0.128514,0.143729,51.88,300.311429,300.385714,296.581429,302.6,298.3,25.47,80.255714,51.88,18.011429,2.4,29.271429,7.514286,34.4,24.4,1.5
sj,1991,35,1991-08-27,0.0693,0.05705,0.22504,0.1864,55.2,300.117143,300.2,296.67,302.3,298.6,23.8,81.594286,55.2,18.091429,2.371429,28.157143,7,32.2,23.9,10.7
sj,1991,36,1991-09-03,0.10805,0.091675,0.1398,0.162414,65.9,300.105714,300.15,296.798571,302.3,298.4,42.33,82.31,65.9,18.262857,2.128571,28.942857,7.542857,34.4,24.4,27.2
sj,1991,37,1991-09-10,0.10475,0.159833,0.11208,0.144643,33.56,300.54,300.635714,296.451429,302.8,298.7,11.4,78.627143,33.56,17.895714,3.042857,28.971429,7.7,33.9,23.3,61
sj,1991,38,1991-09-17,0.1098,0.152733,0.168571,0.168871,29.53,300.527143,300.6,296.901429,303,298.8,28.8,80.877143,29.53,18.4,2.457143,28.914286,6.8,33.3,24.4,7.9
sj,1991,39,1991-09-24,0.1676,0.1489,0.171429,0.218143,73.55,300.06,300.05,296.59,302.4,298.2,77.5,81.424286,73.55,18.044286,2.071429,28.142857,6.685714,32.8,24.4,31.8
sj,1991,40,1991-10-01,0.1291,0.16672,0.177,0.195557,31.68,299.65,299.692857,296.397143,301.6,298.3,60,82.485714,31.68,17.85,2.042857,27.742857,6.914286,32.8,23.3,26.5
sj,1991,41,1991-10-08,0.093,0.093,0.145083,0.168167,32.1,299.562857,299.671429,295.887143,302,297.6,55.1,80.515714,32.1,17.344286,2.257143,27.657143,6.614286,31.7,22.8,8.3
sj,1991,42,1991-10-15,0.0137,0.12886,0.109043,0.107029,3.29,299.897143,299.921429,296.018571,302,298.1,31.19,79.382857,3.29,17.431429,2.3,28.542857,7.628571,33.9,24.4,21.3
sj,1991,43,1991-10-22,0.1944,0.1186,0.180814,0.199871,50.24,299.891429,299.992857,295.455714,302,298,12.6,76.777143,50.24,16.85,2.814286,27.828571,7.085714,32.8,23.3,3.5
sj,1991,44,1991-10-29,0.094,0.09665,0.125567,0.121317,72.61,299.905714,299.992857,295.918571,302.4,298.1,26.83,78.987143,72.61,17.375714,3.042857,28.114286,7.257143,32.8,24.4,4.8
sj,1991,45,1991-11-05,0.0544,0.05475,0.112133,0.119386,42.92,299.09,299.278571,295.567143,302.6,297.3,74.83,81.058571,42.92,16.967143,2.9,27.185714,6.757143,32.2,22.8,41.4
sj,1991,46,1991-11-12,0.0954,0.1114,0.194943,0.198057,78.73,298.685714,298.785714,295.615714,301,297.4,72.7,83.514286,78.73,17.061429,1.971429,26.657143,6.742857,31.1,22.2,28.2
sj,1991,47,1991-11-19,0.00825,0.028425,0.138743,0.179643,0,298.698571,298.707143,294.03,300.8,297.1,15.1,75.548571,0,15.46,2.271429,26.314286,6.814286,30,22.2,9.4
sj,1991,48,1991-11-26,0.087867,0.1519,0.179629,0.166186,35.34,298.375714,298.5,294.938571,301.1,296.9,78.43,81.485714,35.34,16.322857,2.028571,26.271429,6.585714,30,22.2,76.2
sj,1991,49,1991-12-03,0.0802,0.14025,0.133629,0.134457,0,298.642857,298.842857,294.974286,300.5,297.7,35.1,80.275714,0,16.34,1.8,26.728571,6.057143,30.6,23.3,19.6
sj,1991,50,1991-12-10,-0.02665,0.2128,0.222414,0.228943,0,298.518571,298.592857,294.514286,300.2,297.3,26.8,78.621429,0,15.884286,2.014286,25.614286,5.857143,29.4,21.7,34.2
sj,1991,51,1991-12-17,0.142294,0.046133,0.1144,0.040457,0,298.084286,298.135714,292.865714,299.6,296.6,8.76,72.861429,0,14.335714,2.071429,25,6.157143,28.9,20.6,6.1
sj,1991,52,1991-12-24,0.12355,0.1237,0.137933,0.129756,0,296.521429,296.507143,292.045714,299.2,294.3,19.3,76.127143,0,13.635714,2.214286,24.357143,6.185714,28.3,19.4,13.7
sj,1992,1,1992-01-01,0.1251,0.157867,0.185283,0.181367,45.760388,298.701852,299.225578,295.246356,303.427109,295.719156,40.151819,82.161959,45.760388,16.746427,4.903754,27.185783,8.059328,32.452437,22.10215,39.32636
sj,1992,2,1992-01-08,0.100833,0.073575,0.138714,0.112786,200.85,297.912857,298.121429,294.457143,300.4,296.1,18.3,81.3,200.85,15.878571,2.3,25.657143,7.5,30.6,20.6,58.2
sj,1992,3,1992-01-15,0.2224,0.2299,0.198457,0.199414,3.12,297.338571,297.485714,294.467143,300.2,295.6,19.8,84.117143,3.12,15.832857,1.857143,25.471429,6.171429,31.1,21.7,32.3
sj,1992,4,1992-01-22,0.122533,0.13105,0.188843,0.168871,0,297.091429,297.335714,293.021429,299.5,295.6,5.11,78.291429,0,14.482857,2.357143,24.857143,7.442857,30.6,20,1.3
sj,1992,5,1992-01-29,0.142294,0.0483,0.173671,0.191929,0,297.42,297.55,292.718571,299.3,295.5,6.5,75.22,0,14.185714,2.442857,24.8,6.585714,28.9,20,9.2
sj,1992,6,1992-02-05,0.1016,0.0846,0.111717,0.187957,0,296.92,297.128571,292.617143,300.7,294.5,16.2,77.058571,0,14.122857,3.4,24.714286,7.357143,30.6,20,3
sj,1992,7,1992-02-12,0.142294,0.1305,0.195743,0.178857,45.760388,297.798571,298.057143,294.65,300.2,295.3,20.1,82.875714,45.760388,16.06,2.2,26.028571,6.571429,32.2,20,1.3
sj,1992,8,1992-02-19,0.142294,0.184467,0.194614,0.203057,45.760388,297.898571,298.107143,293.628571,300.1,296.3,4.4,77.295714,45.760388,15.012857,2.585714,25.757143,7.385714,33.9,21.7,8.9
sj,1992,9,1992-02-26,0.10705,0.0815,0.165243,0.163057,45.760388,297.472857,297.678571,292.967143,299.3,296.3,14.4,76.037143,45.760388,14.381429,2.414286,25.285714,6.171429,29.4,21.7,16
sj,1992,10,1992-03-04,0.142294,0.18218,0.191086,0.192857,0,297.651429,297.8,293.317143,299.8,295.7,5.5,76.878571,0,14.701429,2.314286,25.657143,7.814286,31.1,20.6,2.9
sj,1992,11,1992-03-11,0.08685,0.09015,0.128,0.1551,23.22,297.634286,297.785714,293.54,299.6,296.1,12.6,78.057143,23.22,14.944286,2.514286,25.785714,7.757143,31.7,21.7,5.9
sj,1992,12,1992-03-18,0.05305,0.08405,0.141771,0.134514,0,297.947143,298.15,293.708571,300.4,295.5,3.56,77.505714,0,15.135714,2.7,26.1,7.857143,31.1,21.7,4.8
sj,1992,13,1992-03-25,0.142294,0.130553,0.134843,0.1068,0,297.218571,297.428571,293.578571,300.3,295.8,21,80.238571,0,14.968571,2.8,26.2,5.714286,32.2,22.2,2.3
sj,1992,14,1992-04-01,0.09995,0.07765,0.193067,0.1769,122.27,297.982857,298.071429,293.884286,300.2,296,16.2,78.067143,122.27,15.264286,2.742857,26.228571,7.528571,31.1,21.7,24.1
sj,1992,15,1992-04-08,0.1039,0.1315,0.122471,0.124386,43.21,298.682857,298.878571,294.195714,301.6,295.9,11.1,76.375714,43.21,15.612857,3.614286,26.985714,7.842857,32.8,21.7,0
sj,1992,16,1992-04-15,0.07515,0.097433,0.159029,0.172986,83.11,297.831429,298,294.942857,300.4,296.6,70.6,84.184286,83.11,16.324286,2.142857,26.814286,5.885714,31.7,22.8,24.5
sj,1992,17,1992-04-22,0.0922,0.1137,0.151414,0.154829,36.16,298.088571,298.257143,294.048571,300.6,296.5,25.8,78.425714,36.16,15.452857,2.828571,26.671429,7.242857,31.7,22.2,4.6
sj,1992,18,1992-04-29,0.0125,0.0635,0.070314,0.089443,0,298.197143,298.521429,293.4,302.1,295.6,4,74.932857,0,14.9,3.614286,27.371429,6.5,33.9,23.3,1.6
sj,1992,19,1992-05-06,0.10875,0.2169,0.182329,0.207357,13.92,298.335714,298.442857,294.221429,302.1,296,45,78.48,13.92,15.75,3,26.785714,6.914286,33.9,22.2,32
sj,1992,20,1992-05-13,0.101875,-0.0088,0.142067,0.1259,2.94,298.334286,298.514286,294.275714,300.4,296.4,27.5,78.381429,2.94,15.687143,2.228571,27.442857,5.957143,31.1,22.8,8.1
sj,1992,21,1992-05-20,0.1024,0.0686,0.062383,0.0574,71.85,298.408571,298.557143,295.767143,301,296.8,570.5,85.647143,71.85,17.232857,2.714286,27.857143,6.771429,32.8,23.3,22.1
sj,1992,22,1992-05-27,0.1215,0.130553,0.219157,0.213014,186.25,298.615714,298.75,296.334286,301.4,297,130.3,87.301429,186.25,17.832857,2.357143,27.428571,5.957143,31.7,23.9,80.2
sj,1992,23,1992-06-03,0.12165,0.13995,0.110086,0.102229,42.24,299.104286,299.228571,296.522857,301,297.8,50,85.827143,42.24,17.995714,2.114286,27.5,6.914286,31.7,22.8,103.9
sj,1992,24,1992-06-10,0.08395,0.0856,0.102371,0.111771,43.21,298.901429,298.964286,296.154286,300.5,297.6,43.8,84.87,43.21,17.57,1.985714,28.2,6.871429,32.8,24.4,102.4
sj,1992,25,1992-06-17,0.10445,0.15315,0.181157,0.192086,52.07,298.931429,298.957143,296.042857,301,297,37.1,84.248571,52.07,17.441429,2,28.285714,6.742857,32.8,24.4,29.8
sj,1992,26,1992-06-24,0.1302,0.1302,0.13938,0.11475,52.96,299.568571,299.55,296.384286,301.8,298,33.7,82.777143,52.96,17.807143,1.728571,28.485714,7.028571,32.8,23.9,5.4
sj,1992,27,1992-07-01,0.1194,0.1439,0.169329,0.168471,10.74,300.177143,300.378571,296.275714,301.8,298.3,10,79.334286,10.74,17.667143,2.271429,29.228571,6.642857,33.3,25.6,3.1
sj,1992,28,1992-07-08,0.142294,0.192,0.146857,0.153071,1.86,300.285714,300.564286,296.198571,302.2,298.7,5.4,78.497143,1.86,17.568571,2.785714,28.728571,6.614286,32.8,24.4,1.8
sj,1992,29,1992-07-15,0.112,0.1255,0.14214,0.182533,94.14,299.79,299.828571,296.052857,301.8,298,46.1,80.15,94.14,17.43,2,27.628571,6.042857,31.7,23.9,45.2
sj,1992,30,1992-07-22,-0.1396,0.05918,0.137129,0.128871,33.51,299.227143,299.371429,295.875714,301.1,298,69.04,81.984286,33.51,17.248571,2.028571,27.557143,6.857143,31.7,23.3,41
sj,1992,31,1992-07-29,0.0539,0.126133,0.133771,0.149914,31.12,299.025714,299.107143,295.745714,300.8,297.7,58.8,82.345714,31.12,17.114286,1.814286,27.971429,6.928571,32.2,22.8,14.2
sj,1992,32,1992-08-05,0.152675,0.173275,0.150043,0.145057,59.22,299.755714,299.914286,296.158571,301.5,297.6,27.1,80.784286,59.22,17.547143,2.428571,28.071429,6.1,31.7,23.3,16.6
sj,1992,33,1992-08-12,0.16395,0.12665,0.215057,0.219271,65.55,299.215714,299.221429,296.007143,301.3,297.8,81.8,82.75,65.55,17.415714,1.957143,27.671429,7.557143,31.7,22.8,41.9
sj,1992,34,1992-08-19,0.1146,0.1368,0.185586,0.192571,68.22,299.491429,299.735714,296.214286,301.9,298.3,61.6,82.317143,68.22,17.601429,2.242857,28.214286,6.928571,33.9,24.4,42.7
sj,1992,35,1992-08-26,0.0875,0.0817,0.179943,0.221757,27.7,300.067143,300.157143,296.057143,302.2,298.1,28.9,78.864286,27.7,17.458571,2.428571,28.271429,6.828571,32.2,23.9,3.1
sj,1992,36,1992-09-02,0.142294,0.2175,0.124014,0.125657,61.55,300.108571,300.157143,296.175714,302,298.4,34.36,79.204286,61.55,17.564286,2.2,28.728571,7.485714,34.4,24.4,6.5
sj,1992,37,1992-09-09,0.123975,0.1768,0.235743,0.214829,21.34,299.727143,299.757143,295.937143,302.2,298.2,87.2,79.93,21.34,17.352857,2.028571,28.028571,6.542857,32.2,23.9,23.6
sj,1992,38,1992-09-16,0.0519,0.072267,0.177571,0.158814,41.32,299.978571,300.071429,296.111429,302.2,298.4,32.6,79.525714,41.32,17.541429,2.342857,28.142857,7.085714,32.8,23.9,28.9
sj,1992,39,1992-09-23,0.1435,0.1435,0.1984,0.212271,95.55,299.292857,299.378571,296.281429,301.4,297.9,116.79,83.7,95.55,17.751429,2.042857,27.557143,7.242857,32.8,23.3,60.9
sj,1992,40,1992-09-30,0.1972,0.12715,0.158133,0.09435,97.7,299.624286,299.707143,296.13,302.3,297.6,34.2,81.297143,97.7,17.604286,2.3,27.971429,7.228571,33.3,23.3,22.6
sj,1992,41,1992-10-07,0.137225,0.10745,0.177186,0.1911,23.1,300.267143,300.328571,296.424286,302.8,298.3,19.4,79.737143,23.1,17.897143,3.257143,28.885714,7.8,35,23.9,0
sj,1992,42,1992-10-14,0.3371,0.1979,0.194586,0.183229,18.95,300.118571,300.228571,295.892857,302.6,297.7,11.3,77.834286,18.95,17.308571,2.971429,29.157143,7.114286,33.3,25,8
